"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 03 13:35:00 EEST 2023","Tue Oct 03 13:35:15 EEST 2023","15164","firefox","specs\e2e.spec.js","Issues page","","","should show page number in the URL after clicking on the pagination",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","0","chromium","demo-todo-app.spec.js","Persistence","","","should persist its data",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","1","chromium","demo-todo-app.spec.js","Editing","","","should trim entered text",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","1","chromium","demo-todo-app.spec.js","Routing","","","should allow me to display all items",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","1","chromium","demo-todo-app.spec.js","Clear completed button","","","should be hidden when there are no items that are completed",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","1","chromium","demo-todo-app.spec.js","Item","","","should allow me to mark items as complete",""
"passed","Tue Oct 03 13:35:19 EEST 2023","Tue Oct 03 13:35:27 EEST 2023","8766","webkit","specs\e2e.spec.js","Main page","","","should open the results page with items containing the searched word",""
"passed","Tue Oct 03 13:34:47 EEST 2023","Tue Oct 03 13:34:54 EEST 2023","6955","chromium","specs\e2e.spec.js","Main page","","","should open online shop page after clicking on the book image",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","2","chromium","demo-todo-app.spec.js","Item","","","should allow me to edit an item",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","1","chromium","demo-todo-app.spec.js","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Tue Oct 03 13:34:54 EEST 2023","Tue Oct 03 13:34:59 EEST 2023","4987","chromium","specs\e2e.spec.js","Top menu links","","","should open the corresponding pages after clicking on them",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","1","chromium","demo-todo-app.spec.js","Editing","","","should remove the item if an empty text string was entered",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","1","chromium","demo-todo-app.spec.js","New Todo","","","should append new items to the bottom of the list",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","1","chromium","demo-todo-app.spec.js","Counter","","","should display the current number of todo items",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","1","chromium","demo-todo-app.spec.js","Routing","","","should allow me to display active items",""
"passed","Mon Oct 02 21:15:20 EEST 2023","Mon Oct 02 21:15:26 EEST 2023","5814","chromium","specs\e2e.spec.js","Top menu links","","","should have the corresponding hrefs",""
"passed","Tue Oct 03 13:35:27 EEST 2023","Tue Oct 03 13:35:34 EEST 2023","6567","webkit","specs\e2e.spec.js","Top menu links","","","should open the corresponding pages after clicking on them",""
"passed","Tue Oct 03 13:03:30 EEST 2023","Tue Oct 03 13:03:34 EEST 2023","4257","chromium","specs\e2e.spec.js","Main page","","","should open the results page with the searched word",""
"skipped","Tue Oct 03 13:10:51 EEST 2023","Tue Oct 03 13:10:51 EEST 2023","0","chromium","specs\test.spec.js","Test suite","","","random test",""
"passed","Tue Oct 03 13:35:23 EEST 2023","Tue Oct 03 13:35:32 EEST 2023","9144","webkit","specs\e2e.spec.js","Issues page","","","should show page number in the URL after clicking on the pagination",""
"passed","Tue Oct 03 09:18:36 EEST 2023","Tue Oct 03 09:18:41 EEST 2023","5169","chromium","specs\e2e.spec.js","Top menu links","","","should open the corresponding pages",""
"passed","Tue Oct 03 13:34:47 EEST 2023","Tue Oct 03 13:34:54 EEST 2023","7580","chromium","specs\e2e.spec.js","Main page","","","should open the results page with items containing the searched word",""
"passed","Tue Oct 03 09:18:17 EEST 2023","Tue Oct 03 09:18:22 EEST 2023","4911","chromium","specs\e2e.spec.js","Main page","","","should redirect the browser after clicking on the book image",""
"passed","Mon Oct 02 19:11:38 EEST 2023","Mon Oct 02 19:11:43 EEST 2023","4981","chromium","specs\e2e.spec.js","Top menu links","","","should open to the correspong pages",""
"passed","Tue Oct 03 13:35:01 EEST 2023","Tue Oct 03 13:35:21 EEST 2023","20603","firefox","specs\e2e.spec.js","Registration page","","","should allow a user to register",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","1","chromium","demo-todo-app.spec.js","New Todo","","","should clear text input field when an item is added",""
"passed","Tue Oct 03 13:35:09 EEST 2023","Tue Oct 03 13:35:18 EEST 2023","9649","firefox","specs\e2e.spec.js","Top menu links","","","should open the corresponding pages after clicking on them",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","1","chromium","demo-todo-app.spec.js","Routing","","","should respect the back button",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","4","chromium","demo-todo-app.spec.js","New Todo","","","should allow me to add todo items",""
"passed","Tue Oct 03 13:34:47 EEST 2023","Tue Oct 03 13:34:55 EEST 2023","8503","chromium","specs\e2e.spec.js","Issues page","","","should show page number in the URL after clicking on the pagination",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","1","chromium","demo-todo-app.spec.js","Routing","","","should allow me to display completed items",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","1","chromium","demo-todo-app.spec.js","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Tue Oct 03 09:18:22 EEST 2023","Tue Oct 03 09:18:26 EEST 2023","3469","chromium","specs\e2e.spec.js","Main page","","","should open the results page with the searched word",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","2","chromium","demo-todo-app.spec.js","Editing","","","should hide other controls when editing",""
"passed","Tue Oct 03 13:35:18 EEST 2023","Tue Oct 03 13:35:28 EEST 2023","9428","webkit","specs\e2e.spec.js","Main page","","","should open online shop page after clicking on the book image",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","1","chromium","demo-todo-app.spec.js","Item","","","should allow me to un-mark items as complete",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","1","chromium","demo-todo-app.spec.js","Clear completed button","","","should display the correct text",""
"passed","Tue Oct 03 13:35:26 EEST 2023","Tue Oct 03 13:35:37 EEST 2023","10481","webkit","specs\e2e.spec.js","Registration page","","","should allow a user to register",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","2","chromium","demo-todo-app.spec.js","Editing","","","should save edits on blur",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","1","chromium","demo-todo-app.spec.js","Routing","","","should highlight the currently applied filter",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","0","chromium","demo-todo-app.spec.js","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Tue Oct 03 13:34:47 EEST 2023","Tue Oct 03 13:34:58 EEST 2023","11207","chromium","specs\e2e.spec.js","Registration page","","","should allow a user to register",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","1","chromium","demo-todo-app.spec.js","Clear completed button","","","should remove completed items when clicked",""
"passed","Tue Oct 03 13:34:56 EEST 2023","Tue Oct 03 13:35:09 EEST 2023","12358","firefox","specs\e2e.spec.js","Main page","","","should open online shop page after clicking on the book image",""
"passed","Tue Oct 03 13:34:56 EEST 2023","Tue Oct 03 13:35:10 EEST 2023","13951","firefox","specs\e2e.spec.js","Main page","","","should open the results page with items containing the searched word",""
"skipped","Tue Oct 03 13:10:28 EEST 2023","Tue Oct 03 13:10:28 EEST 2023","1","chromium","demo-todo-app.spec.js","Editing","","","should cancel edits on escape",""
